time,seconds_elapsed,z,y,x
1660273596310227500,0.1532275390625,0.01160643994808197,0.42088615894317627,-0.03298672288656235
1660273596312255500,0.15525537109375,0.04092797264456749,0.38667771220207214,0.01466076634824276
1660273596314255400,0.15725537109375,0.056810468435287476,0.36713001132011414,0.039095375686883926
1660273596316253400,0.15925341796875,0.08552113175392151,0.32131510972976685,0.08674286305904388
1660273596318253600,0.161253662109375,0.11423180252313614,0.2687807083129883,0.13011430203914642
1660273596320253400,0.16325341796875,0.13011430203914642,0.24434609711170197,0.15027284622192383
1660273596322253600,0.165253662109375,0.16982053220272064,0.1869247704744339,0.18814650177955627
1660273596324253400,0.16725341796875,0.21441370248794556,0.13500121235847473,0.22113321721553802
1660273596326253600,0.169253662109375,0.2376265823841095,0.10445795953273773,0.24129177629947662
1660273596328253400,0.17125341796875,0.29077184200286865,0.04886921867728233,0.27550023794174194
1660273596330253300,0.17325341796875,0.342695415019989,-0.006108652334660292,0.32009339332580566
1660273596332253200,0.175253173828125,0.37201693654060364,-0.03176499158143997,0.34086281061172485
1660273596334253000,0.177253173828125,0.42210787534713745,-0.08307767659425735,0.38667771220207214
1660273596336253000,0.1792529296875,0.4648684561252594,-0.1319468915462494,0.43127086758613586
1660273596338252800,0.181252685546875,0.48319441080093384,-0.15454891324043274,0.45265114307403564
1660273596340251000,0.1832509765625,0.5222898125648499,-0.22540926933288574,0.5180137157440186
1660273596342250800,0.185250732421875,0.5296201705932617,-0.2474004179239273,0.5381723046302795
1660273596344251000,0.1872509765625,0.5345070958137512,-0.2730567753314972,0.5558874011039734
1660273596346250800,0.189250732421875,0.5424483418464661,-0.3182607889175415,0.5919284224510193
1660273596348251000,0.1912509765625,0.5412266254425049,-0.36651915311813354,0.6120869517326355
1660273596350250800,0.193250732421875,0.543059229850769,-0.3891211748123169,0.616973876953125
1660273596352251000,0.1952509765625,0.5400048494338989,-0.4337143301963806,0.6120869517326355
1660273596354250800,0.197250732421875,0.5320636034011841,-0.4758640229701996,0.5913175344467163
1660273596356251000,0.1992509765625,0.5259549617767334,-0.49724429845809937,0.5736024379730225
1660273596358250800,0.201250732421875,0.504574716091156,-0.5418374538421631,0.5296201705932617
1660273596360251000,0.2032509765625,0.4740314185619354,-0.5900958180427551,0.4789183437824249
1660273596362250800,0.205250732421875,0.45753806829452515,-0.6139195561408997,0.4508185386657715
1660273596364251000,0.2072509765625,0.41661009192466736,-0.6603453159332275,0.39156460762023926
1660273596366250800,0.209250732421875,0.37079519033432007,-0.6994407176971436,0.32620203495025635
1660273596368250600,0.211250732421875,0.34697145223617554,-0.7183775305747986,0.2919935882091522
1660273596370250800,0.213250732421875,0.2987131178379059,-0.7483099102973938,0.2217440903186798
1660273596372250600,0.215250732421875,0.24678955972194672,-0.769690215587616,0.15332718193531036
1660273596374250500,0.21725048828125,0.21991148591041565,-0.7733554244041443,0.1160643994808197
1660273596376250600,0.219250732421875,0.16859880089759827,-0.778853178024292,0.045204028487205505
1660273596378250800,0.221250732421875,0.11239920556545258,-0.7721336483955383,-0.024434609338641167
1660273596380249900,0.223249755859375,0.02871066704392433,-0.749531626701355,-0.12339477986097336
1660273596382249000,0.2252490234375,0.001832595793530345,-0.7342600226402283,-0.15577064454555511
1660273596384249000,0.2272490234375,-0.027488935738801956,-0.7195992469787598,-0.18997909128665924
1660273596386249200,0.229249267578125,-0.05619960278272629,-0.6982190012931824,-0.21807889640331268
1660273596388249000,0.2312490234375,-0.11239920556545258,-0.6493497490882874,-0.27122417092323303
1660273596390249200,0.233249267578125,-0.16310101747512817,-0.5907067060470581,-0.323147714138031
1660273596392249300,0.235249267578125,-0.1869247704744339,-0.5564982295036316,-0.3445279896259308
1660273596394249200,0.237249267578125,-0.23457226157188416,-0.484416127204895,-0.3836233615875244
1660273596396249300,0.239249267578125,-0.27977627515792847,-0.41172316670417786,-0.4153883755207062
1660273596398249200,0.241249267578125,-0.2974913716316223,-0.37140607833862305,-0.42699480056762695
1660273596400249900,0.243249755859375,-0.33475416898727417,-0.294437050819397,-0.44593164324760437
1660273596402250000,0.24525,-0.36529740691185,-0.22357667982578278,-0.45265114307403564
1660273596404250000,0.24725,-0.38179078698158264,-0.18814650177955627,-0.4550946056842804
1660273596406250000,0.24925,-0.4080579876899719,-0.12034045159816742,-0.4495968222618103
1660273596408249900,0.251249755859375,-0.4306600093841553,-0.05497787147760391,-0.43188172578811646
1660273596410250000,0.25325,-0.43799036741256714,-0.024434609338641167,-0.42271876335144043
1660273596412249900,0.255249755859375,-0.4538728892803192,0.03787364438176155,-0.39584067463874817
1660273596414249700,0.257249755859375,-0.4642575979232788,0.10262536257505417,-0.3646865487098694
1660273596416249900,0.259249755859375,-0.4642575979232788,0.1313360333442688,-0.34636059403419495
1660273596418249700,0.261249755859375,-0.4691445231437683,0.17959438264369965,-0.3127630054950714
1660273596420248800,0.263248779296875,-0.46364670991897583,0.31642818450927734,-0.16065755486488342
1660273596422248200,0.265248291015625,-0.46364670991897583,0.31642818450927734,-0.16065755486488342
1660273596424247300,0.267247314453125,-0.46364670991897583,0.31642818450927734,-0.16065755486488342
1660273596426246400,0.269246337890625,-0.46364670991897583,0.31642818450927734,-0.16065755486488342
1660273596428246500,0.27124658203125,-0.46181413531303406,0.3243694305419922,-0.13500121235847473
1660273596430246400,0.273246337890625,-0.45692721009254456,0.32986724376678467,-0.08674286305904388
1660273596432246500,0.27524658203125,-0.4550946056842804,0.3225368559360504,-0.036651913076639175
1660273596434246700,0.27724658203125,-0.455705463886261,0.31581732630729675,-0.010995574295520782
