timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll
3.292E+12,0,0.638734158,1.083635123,9.414227905,-0.12583824,-0.05467244,0.01160644,215.54378,56.812492,23.606281
3.29201E+12,0.005022,0.669273184,1.078725807,9.446968502,-0.13439035,-0.06047566,0.008857546,216.29819,56.455315,23.412245
3.29201E+12,0.009928,0.709255179,1.073728064,9.466959369,-0.13164146,-0.04917465,0.006414085,217.04776,56.08714,23.224407
3.29202E+12,0.014945,0.714552618,1.068894518,9.50112529,-0.1441642,-0.058643065,0.007635816,217.81189,55.70102,23.00223
3.29202E+12,0.019962,0.709797392,1.064139292,9.539167397,-0.13469578,-0.05100725,0.015577064,218.5708,55.301376,22.783396
3.29203E+12,0.024955,0.710414141,1.042260279,9.541155091,-0.14721853,-0.0571159,0.013439035,219.36975,54.894314,22.503475
3.29203E+12,0.030003,0.712702058,1.014805239,9.532003232,-0.14813483,-0.05009095,0.017104227,220.15614,54.475956,22.227049
3.29204E+12,0.035002,0.714967767,0.9876167,9.522940208,-0.14263703,-0.0571159,0.014355334,220.96936,54.04508,21.892733
3.29204E+12,0.040499,0.717459185,0.957719641,9.512974326,-0.13958271,-0.07422013,0.009162978,221.7624,53.605824,21.569756
3.29205E+12,0.044995,0.720949693,0.95348225,9.504390782,-0.15271631,-0.07422013,0.010079277,222.53983,53.161373,21.25572
3.29205E+12,0.050049,0.725931798,0.963446486,9.494426885,-0.14477506,-0.076052725,0.020158553,223.29517,52.704906,20.954653
3.29206E+12,0.055044,0.730232087,0.943309609,9.485826327,-0.13744467,-0.08155051,0.017715093,224.03574,52.255787,20.660788
3.29206E+12,0.06,0.734108168,0.904548751,9.478074001,-0.14019357,-0.073303826,0.012217305,224.764,51.802727,20.374697
3.29207E+12,0.064997,0.743063701,0.8707832,9.468637216,-0.1328632,-0.06658431,0.01740966,225.47601,51.34304,20.102516
3.29207E+12,0.069926,0.779228485,0.866262606,9.450554933,-0.12583824,-0.07452556,0.02107485,226.17543,50.878853,19.843952
3.29208E+12,0.075038,0.816015778,0.859925382,9.434006652,-0.11759156,-0.0729984,0.009773844,226.86496,50.413933,19.593458
3.29208E+12,0.079977,0.84261434,0.833326824,9.445405871,-0.10293079,-0.06505715,0.009162978,227.54117,49.945107,19.350468
3.29209E+12,0.084909,0.869175205,0.806765963,9.456788933,-0.09621128,-0.05955936,0.004886922,228.21677,49.47478,19.120802
3.29209E+12,0.089928,0.892958943,0.790117885,9.469020787,-0.08827003,-0.052534413,0.004886922,228.552825,49.23520456,19.00979565
3.2921E+12,0.094924,0.914095956,0.781663102,9.481703247,-0.08155051,-0.047036625,-0.001527163,228.88734,48.996727,18.899298
3.2921E+12,0.099918,0.947867883,0.782027263,9.507957174,-0.0729984,-0.04886922,-0.006414085,229.54771,48.51692,18.689766
3.29211E+12,0.104847,1.010743819,0.802985859,9.565593483,-0.0720821,-0.031154128,-0.009773844,230.2089,48.03363,18.488054
3.29211E+12,0.109845,1.06475466,0.826558165,9.61684366,-0.06414085,-0.025961773,-0.009773844,230.86113,47.5437,18.301203
3.29212E+12,0.114891,1.108642166,0.852890687,9.660731166,-0.0571159,-0.029321533,-0.017104227,231.51036,47.05272,18.123962
3.29212E+12,0.119805,1.159062862,0.895074301,9.749997457,-0.046120327,-0.0290161,-0.018936822,232.14523,46.539196,17.982672
3.29213E+12,0.124855,1.231718755,0.983299302,9.967964648,-0.056505036,-0.03573562,-0.014355334,232.77274,46.03115,17.849012
3.29213E+12,0.12982,1.293004681,1.055513417,9.879842054,-0.06811147,-0.03268129,-0.01038471,233.39844,45.505264,17.736652
3.29214E+12,0.134867,1.34058704,1.107854007,9.351678323,-0.076052725,-0.04428773,-0.013439035,234.01538,44.983753,17.632877
3.29214E+12,0.139806,1.357286462,1.150094537,9.179034677,-0.06688975,-0.054061573,-0.007330383,234.63794,44.422554,17.560562
3.29215E+12,0.144849,1.324464072,1.178228063,9.57759227,-0.06811147,-0.06169739,0.002138028,235.25415,43.870716,17.49154
3.29215E+12,0.149872,1.299325173,1.214264186,9.693608103,-0.07422013,-0.065973446,0.015271631,235.8111,43.355606,17.45767
3.29216E+12,0.154916,1.289727342,1.267051756,9.228117958,-0.062002823,-0.0711658,0.023518313,236.3639,42.839245,17.424133
3.29216E+12,0.159919,1.273627487,1.298303845,9.007129863,-0.07238753,-0.082161374,0.03940081,236.95248,42.305843,17.379015
3.29217E+12,0.164984,1.243429609,1.285361833,9.291853676,-0.05131268,-0.089491755,0.04062254,237.5393,41.76487,17.336123
3.29217E+12,0.16996,1.215561022,1.27510226,9.550157405,-0.05100725,-0.08735373,0.050701816,238.07443,41.271393,17.311125
3.29218E+12,0.174911,1.207347122,1.291530102,9.574798762,-0.05222898,-0.086132,0.0571159,238.60768,40.775257,17.287668
3.29218E+12,0.179874,1.199113314,1.307997762,9.599499843,-0.03970624,-0.07452556,0.057726767,239.1727,40.259357,17.242006
3.29219E+12,0.184917,1.20475994,1.31968164,9.375765791,-0.05009095,-0.070249505,0.06261369,239.73206,39.755226,17.196173
3.29219E+12,0.189855,1.214634703,1.329556403,9.079522911,-0.040317107,-0.06963864,0.06536258,240.29128,39.246624,17.149708
3.2922E+12,0.194905,1.229557804,1.332506529,8.940466545,-0.051923547,-0.06352998,0.06352998,240.85373,38.74581,17.100964
3.2922E+12,0.19993,1.245324101,1.334083157,8.833255734,-0.05100725,-0.053145275,0.06780604,241.41286,38.244606,17.050293
3.29221E+12,0.20495,1.261074711,1.335658216,8.726151601,-0.057726767,-0.047036625,0.06505715,241.94574,37.772022,17.01313
3.29221E+12,0.20994,1.276731194,1.337223863,8.619687532,-0.06658431,-0.044898596,0.06261369,242.47751,37.30367,16.973919
3.29222E+12,0.214935,1.292403364,1.338791078,8.513116786,-0.071776666,-0.04886922,0.064446285,243.01268,36.846706,16.940832
3.29222E+12,0.219925,1.308059847,1.340356725,8.406652717,-0.08582657,-0.042760566,0.063224554,243.55013,36.39717,16.906136
3.29223E+12,0.225749,1.292828297,1.342885698,8.454350425,-0.09437868,-0.043982297,0.062002823,244.08151,35.94963,16.875515
3.29223E+12,0.22994,1.275191085,1.344845386,8.522939503,-0.10262536,-0.043066,0.067500606,244.61174,35.509674,16.842335
3.29224E+12,0.234954,1.254090398,1.347189904,8.604997637,-0.10903945,-0.05009095,0.06963864,245.10895,35.092525,16.83064
3.29224E+12,0.239943,1.233094919,1.349522732,8.686646625,-0.1142318,-0.040927973,0.064751714,245.60913,34.679436,16.814547
3.29225E+12,0.24493,1.199902349,1.347448809,8.720656103,-0.12370021,-0.042455133,0.076052725,246.1011,34.273434,16.79869
3.29225E+12,0.24994,1.160066702,1.343022631,8.729508643,-0.13775012,-0.04886922,0.07452556,246.59744,33.870686,16.784225
3.29226E+12,0.254941,1.115881174,1.326497654,8.722168587,-0.1469131,-0.06536258,0.079107046,247.10493,33.465828,16.756771
3.29226E+12,0.259947,1.066976286,1.29715462,8.697716143,-0.1432479,-0.06352998,0.08460484,247.61328,33.064075,16.726696
3.29227E+12,0.26508,1.033560359,1.275558316,8.740300029,-0.14874569,-0.06963864,0.0983493,248.11679,32.677414,16.692411
3.29227E+12,0.269976,1.015321271,1.261879084,8.836055085,-0.16310102,-0.07391469,0.09865474,248.62143,32.294052,16.659004
3.29228E+12,0.274942,0.991266501,1.235497451,8.92778838,-0.14844026,-0.06872234,0.11056661,249.12178,31.93085,16.632078
3.29228E+12,0.279944,0.96079373,1.194867126,9.014127503,-0.15668693,-0.07269296,0.1160644,249.6203,31.57905,16.6098
3.29229E+12,0.28494,0.945399845,1.168483269,9.121738214,-0.14782938,-0.06841691,0.113926366,250.12929,31.220629,16.57783
3.29229E+12,0.289941,0.940757645,1.152235545,9.244756658,-0.15454891,-0.053145275,0.1282817,250.63231,30.872889,16.541603
3.2923E+12,0.295739,0.935375627,1.133398451,9.387380321,-0.1563815,-0.049480084,0.11575896,251.15063,30.53128,16.509634
3.2923E+12,0.299935,0.931480671,1.119766088,9.490596756,-0.15790866,-0.042455133,0.11636983,251.66302,30.195894,16.470324
3.29231E+12,0.304927,0.91817729,1.104445831,9.553343955,-0.16187929,-0.040011674,0.11575896,252.17676,29.862246,16.434536
3.29231E+12,0.30995,0.894297069,1.090117713,9.543792176,-0.16310102,-0.03390302,0.12217305,252.68811,29.530867,16.396145
3.29232E+12,0.314929,0.885220826,1.084256507,9.546809183,-0.15668693,-0.022907447,0.118202426,253.21347,29.185991,16.354847
3.29232E+12,0.319956,0.89473144,1.089011798,9.565830251,-0.16432275,-0.006108652,0.1255328,253.73346,28.849636,16.309313
3.29233E+12,0.324886,0.901145426,1.080649201,9.569402513,-0.1731803,-0.011301007,0.12461651,254.25174,28.51861,16.26168
3.29233E+12,0.329936,0.903449076,1.053005371,9.550973404,-0.17684549,-0.009773844,0.12675454,254.76794,28.191587,16.208588
3.29234E+12,0.334872,0.905700724,1.025985579,9.53296032,-0.1826487,-0.004886922,0.1160644,255.28522,27.864994,16.16032
3.29234E+12,0.339942,0.908013498,0.998232267,9.514458225,-0.1908954,-0.012522738,0.11911872,255.79384,27.543978,16.114079
3.29235E+12,0.344898,0.915441,0.968624347,9.491983043,-0.18875736,-0.012217305,0.11942416,256.3048,27.222923,16.06783
3.29235E+12,0.349927,0.942552161,0.929189909,9.452548591,-0.18845193,-0.01740966,0.11026118,256.81265,26.90639,16.026907
3.29236E+12,0.354867,0.969183526,0.890453357,9.413812023,-0.18600847,-0.016798794,0.11301007,257.30344,26.60304,15.985565
3.29236E+12,0.359954,0.996607364,0.850564118,9.373922769,-0.16707164,-0.02687807,0.106595986,257.7941,26.295517,15.951629
3.29237E+12,0.365724,1.017194929,0.786643619,9.299734996,-0.17104226,-0.03023783,0.099265605,258.28302,25.996185,15.916422
3.29237E+12,0.369949,1.020915229,0.7196782,9.214167869,-0.17562376,-0.043066,0.09315695,258.76804,25.693645,15.887275
3.29238E+12,0.374939,1.025975601,0.647451012,9.117895885,-0.16126843,-0.04734206,0.093767814,259.2385,25.40645,15.863947
3.29238E+12,0.379939,1.035344462,0.619344546,9.052313807,-0.1423316,-0.050701816,0.09040806,259.70758,25.120134,15.844795
3.29239E+12,0.384924,1.04460601,0.592294019,8.985280901,-0.13805555,-0.05131268,0.0888809,260.1638,24.863672,15.828464
3.29239E+12,0.389946,1.053099553,0.575306914,8.900345467,-0.12492194,-0.046731193,0.090713486,260.6178,24.600626,15.811353
