time,seconds_elapsed,z,y,x
1660273660625363700,0.04136376953125,0.09781479835510254,-0.4643339514732361,-0.031612277030944824
1660273660635385600,0.051385498046875,0.09781479835510254,-0.4643339514732361,-0.031612277030944824
1660273660637385700,0.0533857421875,0.09781479835510254,-0.4643339514732361,-0.031612277030944824
1660273660639385600,0.055385498046875,0.09781479835510254,-0.4643339514732361,-0.031612277030944824
1660273660641385700,0.0573857421875,0.09781479835510254,-0.4643339514732361,-0.031612277030944824
1660273660643385600,0.059385498046875,-0.11110111325979233,-0.3268892765045166,0.11071932315826416
1660273660645385700,0.0613857421875,-0.12209668755531311,-0.3336087763309479,0.1235474944114685
1660273660647385600,0.063385498046875,-0.13859005272388458,-0.3427717685699463,0.13820825517177582
1660273660649385700,0.0653857421875,-0.1428661048412323,-0.34949126839637756,0.14309518039226532
1660273660651385600,0.067385498046875,-0.15630514919757843,-0.35559993982315063,0.15653422474861145
1660273660653385700,0.0693857421875,-0.16607898473739624,-0.36048686504364014,0.16814066469669342
1660273660655385900,0.0713857421875,-0.17463110387325287,-0.3623194396495819,0.17302757501602173
1660273660657383400,0.073383544921875,-0.1935679316520691,-0.3635411858558655,0.19135354459285736
1660273660659383600,0.075383544921875,-0.1978439837694168,-0.3635411858558655,0.19318613409996033
1660273660661383700,0.0773837890625,-0.2039526402950287,-0.3629303276538849,0.1999056488275528
1660273660663383800,0.0793837890625,-0.21616993844509125,-0.358654260635376,0.2054034322500229
1660273660665384000,0.081384033203125,-0.2241111844778061,-0.3537673354148865,0.20845776796340942
1660273660667383800,0.0833837890625,-0.2283872365951538,-0.3513238728046417,0.20845776796340942
1660273660669384000,0.085384033203125,-0.2393828183412552,-0.34521523118019104,0.20723603665828705
1660273660671383800,0.0873837890625,-0.24610233306884766,-0.34460434317588806,0.2041817009449005
1660273660673384000,0.089384033203125,-0.25098925828933716,-0.34949126839637756,0.20357084274291992
1660273660675383800,0.0913837890625,-0.25587618350982666,-0.35559993982315063,0.1992947906255722
1660273660677384000,0.093384033203125,-0.258930504322052,-0.367817223072052,0.19135354459285736
1660273660679383800,0.0953837890625,-0.2595413625240326,-0.377591073513031,0.18585574626922607
1660273660681384000,0.097384033203125,-0.25648704171180725,-0.3977496325969696,0.17302757501602173
1660273660683383800,0.0993837890625,-0.2540435791015625,-0.42096251249313354,0.16019940376281738
1660273660685384000,0.101384033203125,-0.25098925828933716,-0.4331798255443573,0.1498146951198578
1660273660687384000,0.103384033203125,-0.24671320617198944,-0.458836168050766,0.12965615093708038
1660273660689384000,0.105384033203125,-0.2393828183412552,-0.4881576895713806,0.10949759185314178
1660273660691384000,0.107384033203125,-0.23693935573101044,-0.5040401816368103,0.09605856239795685
1660273660693384200,0.10938427734375,-0.2289981096982956,-0.5339725613594055,0.07284568250179291
1660273660695384000,0.111384033203125,-0.22044599056243896,-0.5632941126823425,0.04657847434282303
1660273660697383200,0.113383056640625,-0.20700696110725403,-0.6121633052825928,-0.001679879380390048
1660273660699382500,0.115382568359375,-0.20700696110725403,-0.6121633052825928,-0.001679879380390048
1660273660701382400,0.11738232421875,-0.2033417671918869,-0.6237697601318359,-0.010842857882380486
1660273660703382500,0.119382568359375,-0.19967657327651978,-0.6304892897605896,-0.02428189292550087
1660273660705382400,0.12138232421875,-0.19051359593868256,-0.6488152742385864,-0.04505131021142006
1660273660707382500,0.123382568359375,-0.17890715599060059,-0.6604216694831848,-0.06459899991750717
1660273660709382400,0.12538232421875,-0.17524196207523346,-0.662865161895752,-0.07437284290790558
1660273660711382500,0.127382568359375,-0.16607898473739624,-0.6640868782997131,-0.09147707372903824
1660273660713382400,0.12938232421875,-0.15386168658733368,-0.6598108410835266,-0.10491610318422318
1660273660715382300,0.13138232421875,-0.1483639031648636,-0.6549239158630371,-0.11041389405727386
