time,seconds_elapsed,z,y,x
1660273498805803300,0.05480322265625,9.209896087646484,3.3514597415924072,0.3404594659805298
1660273498815802000,0.064802001953125,9.179373741149902,3.4203643798828125,0.4588754177093506
1660273498825802200,0.07480224609375,9.116045951843262,3.5765585899353027,0.5256466865539551
1660273498835802600,0.084802734375,9.043570518493652,3.7458655834198,0.5938699841499329
1660273498845802800,0.094802734375,8.96298599243164,3.922947883605957,0.6676381230354309
1660273498855802600,0.104802734375,8.876519203186035,4.100952625274658,0.7483004331588745
1660273498865803000,0.114802978515625,8.785510063171387,4.276333808898926,0.8355544805526733
1660273498875803100,0.12480322265625,8.691560745239258,4.4480743408203125,0.9174750447273254
1660273498885803000,0.134802978515625,8.597222328186035,4.613743782043457,0.9856250882148743
1660273498895803100,0.14480322265625,8.505108833312988,4.7692952156066895,1.0427271127700806
1660273498904911400,0.153911376953125,8.420909881591797,4.904252052307129,1.09861421585083
1660273498913308700,0.16230859375,8.349859237670898,5.009417533874512,1.1644467115402222
1660273498929335800,0.178335693359375,8.349859237670898,5.009417533874512,1.1644467115402222
1660273498939334700,0.188334716796875,8.295931816101074,5.079178333282471,1.2449021339416504
1660273498949334800,0.198334716796875,8.262393951416016,5.112590789794922,1.3283659219741821
1660273498959335200,0.208335205078125,8.244091033935547,5.1200642585754395,1.4107692241668701
1660273498969335300,0.218335205078125,8.237815856933594,5.107664108276367,1.490139126777649
1660273498979335200,0.228335205078125,8.24191665649414,5.079472541809082,1.5620907545089722
1660273498989335300,0.238335205078125,8.252262115478516,5.042535781860352,1.6258400678634644
1660273498999335400,0.24833544921875,8.266621589660645,5.0011091232299805,1.6799390316009521
1660273499009335600,0.25833544921875,8.284014701843262,4.956623077392578,1.7254900932312012
1660273499019335400,0.26833544921875,8.302906036376953,4.909342288970947,1.7693068981170654
1660273499029335600,0.27833544921875,8.320622444152832,4.861079216003418,1.8186513185501099
1660273499039335700,0.288335693359375,8.326793670654297,4.822880744934082,1.8906679153442383
1660273499049335600,0.29833544921875,8.308758735656738,4.8038763999938965,2.0143589973449707
1660273499059335700,0.308335693359375,8.25002670288086,4.813818454742432,2.221379518508911
1660273499069335600,0.31833544921875,8.130462646484375,4.856943130493164,2.5447967052459717
1660273499079335700,0.328335693359375,7.949256896972656,4.91831636428833,2.9647536277770996
1660273499089335800,0.338335693359375,7.706666469573975,4.987074851989746,3.4506070613861084
1660273499099336000,0.3483359375,7.407196044921875,5.044544219970703,3.981999397277832
1660273499109335800,0.358335693359375,7.076699256896973,5.072986125946045,4.5117058753967285
1660273499118890000,0.367889892578125,6.755299091339111,5.0515947341918945,5.00175666809082
1660273499128046600,0.377046630859375,6.478044509887695,4.9614362716674805,5.439610481262207
1660273499144091600,0.393091552734375,6.478044509887695,4.9614362716674805,5.439610481262207
1660273499154071600,0.403071533203125,6.237110614776611,4.838648319244385,5.818605899810791
1660273499164071700,0.41307177734375,6.012457847595215,4.70762825012207,6.152956962585449
1660273499174072000,0.423072021484375,5.79710054397583,4.574376106262207,6.452825546264648
1660273499184072400,0.433072509765625,5.5840959548950195,4.43454122543335,6.732235431671143
1660273499194072600,0.443072509765625,5.373630046844482,4.281378269195557,6.997447490692139
1660273499204072700,0.45307275390625,5.164389133453369,4.104511737823486,7.256185531616211
1660273499214072800,0.46307275390625,4.947262287139893,3.9026691913604736,7.514256000518799
1660273499224072700,0.47307275390625,4.717807292938232,3.6708898544311523,7.774127960205078
1660273499234072800,0.48307275390625,4.480000972747803,3.3991284370422363,8.034038543701172
1660273499244072700,0.49307275390625,4.2390851974487305,3.0804800987243652,8.289206504821777
1660273499254071800,0.50307177734375,4.00002384185791,2.708200693130493,8.53437614440918
1660273499264071700,0.51307177734375,3.7701985836029053,2.2809314727783203,8.760880470275879
1660273499274071800,0.52307177734375,3.5619351863861084,1.805937647819519,8.956645011901855
1660273499284071700,0.53307177734375,3.382996082305908,1.2991098165512085,9.112506866455078
1660273499293498400,0.542498291015625,3.241180181503296,0.7695011496543884,9.223495483398438
1660273499302430000,0.551429931640625,3.153141975402832,0.22781331837177277,9.283102989196777
1660273499318457000,0.56745703125,3.0533463954925537,-0.31424686312675476,9.313882827758789
1660273499328456000,0.5774560546875,2.99448299407959,-0.8600102663040161,9.298578262329102
1660273499338456000,0.5874560546875,2.964672803878784,-1.4043744802474976,9.241680145263672
1660273499344443100,0.593443115234375,2.949108123779297,-1.9467039108276367,9.147858619689941
1660273499349101300,0.598101318359375,2.927429437637329,-2.4891104698181152,9.022455215454102
1660273499365126400,0.61412646484375,2.927429437637329,-2.4891104698181152,9.022455215454102
1660273499375126300,0.624126220703125,2.884683132171631,-3.031827449798584,8.868871688842773
1660273499385146400,0.634146484375,2.811102867126465,-3.57405686378479,8.68873119354248
1660273499395146800,0.644146728515625,2.7089474201202393,-4.108660697937012,8.482373237609863
1660273499405147100,0.654147216796875,2.58430552482605,-4.629302024841309,8.249919891357422
1660273499415147300,0.664147216796875,2.4454338550567627,-5.130540370941162,7.991723537445068
1660273499425147100,0.674147216796875,2.302483558654785,-5.606492519378662,7.709466934204102
1660273499435147300,0.684147216796875,2.161956310272217,-6.048655986785889,7.410119533538818
1660273499445147400,0.6941474609375,2.030139923095703,-6.448946952819824,7.103504657745361
1660273499455147300,0.704147216796875,1.9077190160751343,-6.808393955230713,6.7953290939331055
1660273499465147400,0.7141474609375,1.7962960004806519,-7.127363681793213,6.491854667663574
1660273499475147500,0.7241474609375,1.7022689580917358,-7.402102470397949,6.2033185958862305
1660273499485147600,0.734147705078125,1.6208277940750122,-7.63716459274292,5.9343581199646
1660273499495147500,0.7441474609375,1.549583911895752,-7.837352752685547,5.687248229980469
1660273499505147600,0.754147705078125,1.4914625883102417,-8.00784683227539,5.460764408111572
1660273499514717200,0.76371728515625,1.4048259258270264,-8.29771900177002,5.034311771392822
1660273499523782400,0.772782470703125,1.3634815216064453,-8.430788040161133,4.820066452026367
1660273499533157400,0.782157470703125,1.3634815216064453,-8.430788040161133,4.820066452026367
1660273499542569000,0.79156884765625,1.329290509223938,-8.554865837097168,4.606233596801758
1660273499552013600,0.801013671875,1.3008599281311035,-8.671894073486328,4.3904500007629395
1660273499561064700,0.810064697265625,1.275907278060913,-8.78289794921875,4.171693325042725
1660273499569763300,0.818763427734375,1.2518121004104614,-8.8885498046875,3.949268102645874
1660273499585790500,0.83479052734375,1.2518121004104614,-8.8885498046875,3.949268102645874
1660273499595789600,0.84478955078125,1.2248626947402954,-8.989259719848633,3.723296880722046
1660273499605790500,0.85479052734375,1.192200779914856,-9.08439826965332,3.496067523956299
1660273499615790800,0.864790771484375,1.1505799293518066,-9.171500205993652,3.2756450176239014
1660273499625791000,0.874791015625,1.0998042821884155,-9.250391006469727,3.064439535140991
1660273499635790800,0.884790771484375,1.039472222328186,-9.321130752563477,2.864600896835327
1660273499645791000,0.894791015625,0.9683493971824646,-9.383710861206055,2.6792376041412354
1660273499655791000,0.904791015625,0.8897148370742798,-9.439435005187988,2.5050883293151855
1660273499665791200,0.914791259765625,0.8076058626174927,-9.489015579223633,2.3401544094085693
1660273499675791000,0.924791015625,0.7269576191902161,-9.532272338867188,2.185741901397705
1660273499685791200,0.934791259765625,0.6510685682296753,-9.569942474365234,2.040154457092285
1660273499695791400,0.944791259765625,0.5831336379051208,-9.602389335632324,1.9037690162658691
1660273499705791200,0.954791259765625,0.5288075804710388,-9.629408836364746,1.7790958881378174
