time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1660273498805803300,0.05480322265625,0.873757004737854,0.14586199820041656,0.09565699845552444,0.45400699973106384,-0.036949872970581055,-0.34878242015838623,-2.1896889209747314
1660273498815802000,0.064802001953125,0.8729199767112732,0.14628799259662628,0.10286899656057358,0.4539009928703308,-0.04994826018810272,-0.35626915097236633,-2.1915781497955322
1660273498825802200,0.07480224609375,0.8712620139122009,0.15207800269126892,0.10992400348186493,0.4535309970378876,-0.057597916573286057,-0.373318612575531,-2.1925761699676514
1660273498835802600,0.084802734375,0.8693090081214905,0.15846900641918182,0.11744700372219086,0.4532040059566498,-0.06557349860668182,-0.39192914962768555,-2.1934685707092285
1660273498845802800,0.094802734375,0.8670840263366699,0.16511400043964386,0.12550799548625946,0.45293501019477844,-0.07435104995965958,-0.4115488827228546,-2.194359064102173
1660273498855802600,0.104802734375,0.8647059798240662,0.17167499661445618,0.13398200273513794,0.4526129961013794,-0.08410225808620453,-0.43144163489341736,-2.1956002712249756
1660273498865803000,0.114802978515625,0.862322986125946,0.1780260056257248,0.14272500574588776,0.45203301310539246,-0.0948207750916481,-0.4512210190296173,-2.1977245807647705
1660273498875803100,0.12480322265625,0.8599759936332703,0.18441100418567657,0.15115000307559967,0.45120498538017273,-0.10516982525587082,-0.4707752466201782,-2.2004573345184326
1660273498885803000,0.134802978515625,0.8577650189399719,0.1909330040216446,0.15877099335193634,0.4500809907913208,-0.11414624750614166,-0.4898243546485901,-2.203702926635742
1660273498895803100,0.14480322265625,0.8558880090713501,0.19738100469112396,0.16553199291229248,0.4484350085258484,-0.12199131399393082,-0.5078877806663513,-2.208057165145874
1660273498904911400,0.153911376953125,0.8546109795570374,0.20305299758911133,0.17152999341487885,0.44607898592948914,-0.12972992658615112,-0.523707926273346,-2.214272975921631
1660273498913308700,0.16230859375,0.8539599776268005,0.20718200504779816,0.1770630031824112,0.4432550072669983,-0.1385633796453476,-0.5361365079879761,-2.2221527099609375
1660273498929335800,0.178335693359375,0.8539599776268005,0.20718200504779816,0.1770630031824112,0.4432550072669983,-0.1385633796453476,-0.5361365079879761,-2.2221527099609375
1660273498939334700,0.188334716796875,0.8538119792938232,0.20927299559116364,0.18229100108146667,0.4404290020465851,-0.14895035326480865,-0.544431746006012,-2.230764865875244
1660273498949334800,0.198334716796875,0.8540089726448059,0.20943300426006317,0.18674300611019135,0.4380989968776703,-0.15940840542316437,-0.5484195351600647,-2.238546133041382
1660273498959335200,0.208335205078125,0.8545250296592712,0.20830699801445007,0.19046400487422943,0.4360249936580658,-0.1694832444190979,-0.5493127703666687,-2.245819568634033
1660273498969335300,0.218335205078125,0.855538010597229,0.2063560038805008,0.19340500235557556,0.433665007352829,-0.17895494401454926,-0.5478308796882629,-2.253706932067871
1660273498979335200,0.228335205078125,0.8570550084114075,0.2039099931716919,0.19544799625873566,0.43090200424194336,-0.18730832636356354,-0.5444667935371399,-2.2623000144958496
1660273498989335300,0.238335205078125,0.8587390184402466,0.20123699307441711,0.19686399400234222,0.4281519949436188,-0.19452613592147827,-0.5400694608688354,-2.2705674171447754
1660273498999335400,0.24833544921875,0.8603439927101135,0.19849200546741486,0.1977889984846115,0.42577800154685974,-0.200489342212677,-0.5351513028144836,-2.2776193618774414
1660273499009335600,0.25833544921875,0.8616989850997925,0.1956470012664795,0.19838100671768188,0.42407599091529846,-0.20535531640052795,-0.5298858880996704,-2.2828121185302734
1660273499019335400,0.26833544921875,0.8628349900245667,0.19258999824523926,0.19894400238990784,0.42289999127388,-0.20995451509952545,-0.5243074297904968,-2.286682605743408
1660273499029335600,0.27833544921875,0.8636929988861084,0.18925200402736664,0.19987499713897705,0.42221599817276,-0.21518738567829132,-0.5186315774917603,-2.289508819580078
1660273499039335700,0.288335693359375,0.8639559745788574,0.18577900528907776,0.20233100652694702,0.42204898595809937,-0.22327272593975067,-0.5141522884368896,-2.2916924953460693
1660273499049335600,0.29833544921875,0.8631489872932434,0.18189899623394012,0.2080480009317398,0.4226120114326477,-0.23784895241260529,-0.5119280815124512,-2.293499708175659
1660273499059335700,0.308335693359375,0.8607180118560791,0.17729899287223816,0.21893100440502167,0.42402398586273193,-0.2630194425582886,-0.5130913257598877,-2.295476198196411
1660273499069335600,0.31833544921875,0.8562949895858765,0.17145699262619019,0.23677900433540344,0.4257870018482208,-0.3033360540866852,-0.5181460380554199,-2.2996819019317627
