time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1660273549386128400,0.05512841796875,0.9648029804229736,0.06375999748706818,0.10834000259637833,0.23097699880599976,-0.1833774447441101,-0.1739557683467865,-2.6876652240753174
1660273549396129500,0.065129638671875,0.9648870229721069,0.06898099929094315,0.10912299901247025,0.22874799370765686,-0.18312250077724457,-0.1840788871049881,-2.6929914951324463
1660273549406128400,0.07512841796875,0.9646049737930298,0.07644599676132202,0.11110399663448334,0.2266020029783249,-0.18436314165592194,-0.19914688169956207,-2.698596477508545
1660273549416128000,0.0851279296875,0.9643309712409973,0.08379200100898743,0.11309000104665756,0.22417299449443817,-0.1858241856098175,-0.2139381468296051,-2.7047863006591797
1660273549426129700,0.095129638671875,0.9641780257225037,0.09092599898576736,0.11476100236177444,0.2211810052394867,-0.1869794875383377,-0.22807583212852478,-2.7120752334594727
1660273549436129300,0.10512939453125,0.9642350077629089,0.09790299832820892,0.11593399941921234,0.21730899810791016,-0.1875338852405548,-0.24153156578540802,-2.7210843563079834
1660273549446129200,0.115129150390625,0.9644280076026917,0.10491900146007538,0.1167600005865097,0.21268799901008606,-0.18770788609981537,-0.2547883093357086,-2.7315878868103027
1660273549456129000,0.12512890625,0.9641180038452148,0.11179900169372559,0.11789699643850327,0.20994199812412262,-0.18819205462932587,-0.26828473806381226,-2.738245964050293
1660273549464982300,0.133982177734375,0.9636639952659607,0.11872900277376175,0.11976400017738342,0.2071480005979538,-0.19026058912277222,-0.28217726945877075,-2.7452220916748047
1660273549472979000,0.14197900390625,0.962939977645874,0.12549899518489838,0.1227789968252182,0.20474399626255035,-0.19472697377204895,-0.2962885797023773,-2.751734972000122
1660273549489006000,0.158006103515625,0.962939977645874,0.12549899518489838,0.1227789968252182,0.20474399626255035,-0.19472697377204895,-0.2962885797023773,-2.751734972000122
1660273549499005000,0.1680048828125,0.9618989825248718,0.1319340020418167,0.1269029974937439,0.20307199656963348,-0.20146921277046204,-0.3103114664554596,-2.7570879459381104
1660273549509005000,0.178005126953125,0.9606500267982483,0.1378670036792755,0.13186299800872803,0.20187799632549286,-0.21005778014659882,-0.32375040650367737,-2.761752128601074
1660273549514992600,0.18399267578125,0.9593700170516968,0.14345799386501312,0.13706199824810028,0.2006019949913025,-0.21939732134342194,-0.3365667462348938,-2.7667558193206787
1660273549519650800,0.18865087890625,0.9581509828567505,0.14861400425434113,0.14225800335407257,0.19905300438404083,-0.22908973693847656,-0.3484305143356323,-2.772416830062866
1660273549535676000,0.204676025390625,0.9569039940834045,0.1536879986524582,0.14744199812412262,0.19742099940776825,-0.23893798887729645,-0.36007627844810486,-2.778367280960083
1660273549545675800,0.21467578125,0.9558550119400024,0.15825000405311584,0.15236400067806244,0.19514699280261993,-0.24876762926578522,-0.37040701508522034,-2.7856483459472656
1660273549555676000,0.224676025390625,0.9551219940185547,0.16192300617694855,0.15727299451828003,0.19179800152778625,-0.2593810558319092,-0.37862342596054077,-2.795212984085083
1660273549565676300,0.23467626953125,0.954600989818573,0.16476300358772278,0.16253499686717987,0.18753699958324432,-0.27146050333976746,-0.38496696949005127,-2.806842565536499
1660273549575676700,0.2446767578125,0.9541630148887634,0.16666099429130554,0.16877800226211548,0.1825069934129715,-0.2862872779369354,-0.38941773772239685,-2.8204402923583984
1660273549585676800,0.2546767578125,0.9535149931907654,0.167480006814003,0.17712700366973877,0.17715799808502197,-0.3060716688632965,-0.3921199440956116,-2.8354415893554688
1660273549595677000,0.264677001953125,0.9523959755897522,0.16774600744247437,0.1878640055656433,0.17178000509738922,-0.3311680555343628,-0.3941936492919922,-2.851414203643799
1660273549605677000,0.274677001953125,0.950406014919281,0.16803599894046783,0.20157699286937714,0.16690799593925476,-0.36254653334617615,-0.39704450964927673,-2.8676133155822754
1660273549615677000,0.284677001953125,0.9471629858016968,0.169063001871109,0.21890099346637726,0.16242000460624695,-0.4016469717025757,-0.4021179676055908,-2.884866714477539
1660273549625677000,0.294677001953125,0.9424790143966675,0.17124499380588531,0.23956499993801117,0.158160999417305,-0.4481579661369324,-0.4099563658237457,-2.903754949569702
1660273549635677000,0.304677001953125,0.936119019985199,0.17472800612449646,0.26335498690605164,0.15425199270248413,-0.5019152164459229,-0.42067694664001465,-2.9243268966674805
1660273549645677000,0.314677001953125,0.9282130002975464,0.17874200642108917,0.2898400127887726,0.1498750001192093,-0.5627393126487732,-0.4320142865180969,-2.94810152053833
1660273549655677200,0.32467724609375,0.9194350242614746,0.1813730001449585,0.31735700368881226,0.14500699937343597,-0.6270527243614197,-0.43957990407943726,-2.9733517169952393
1660273549665677300,0.33467724609375,0.9104340076446533,0.18168500065803528,0.3444119989871979,0.1395680010318756,-0.6911665201187134,-0.44113069772720337,-2.9984629154205322
1660273549675677400,0.344677490234375,0.9022210240364075,0.1789740025997162,0.3693299889564514,0.1325100064277649,-0.7509967684745789,-0.4343579411506653,-3.023468494415283
1660273549685677300,0.35467724609375,0.8944820165634155,0.17285999655723572,0.39312100410461426,0.12439899891614914,-0.8079442977905273,-0.4192199110984802,-3.046600580215454
1660273549695677400,0.364677490234375,0.8870999813079834,0.163332998752594,0.4161680042743683,0.11479499936103821,-0.8625723123550415,-0.3955691158771515,-3.0681376457214355
1660273549705677300,0.37467724609375,0.8796120285987854,0.15048900246620178,0.43934598565101624,0.10300300270318985,-0.9168311953544617,-0.3631834089756012,-3.089179277420044
1660273549715677400,0.384677490234375,0.8707529902458191,0.13808099925518036,0.4635489881038666,0.08856400102376938,-0.973796546459198,-0.32845014333724976,-3.1138880252838135
1660273549725231600,0.394231689453125,0.859969973564148,0.12798400223255157,0.4886910021305084,0.07247400283813477,-1.0335841178894043,-0.2952296733856201,3.14113450050354
1660273549734388000,0.403387939453125,0.8466209769248962,0.12190599739551544,0.5151450037956238,0.05473100021481514,-1.097814917564392,-0.2659284174442291,3.1074607372283936
1660273549750415000,0.4194150390625,0.8466209769248962,0.12190599739551544,0.5151450037956238,0.05473100021481514,-1.097814917564392,-0.2659284174442291,3.1074607372283936
1660273549760414000,0.4294140625,0.831732988357544,0.11874900013208389,0.5411779880523682,0.03527500107884407,-1.1622847318649292,-0.2379542589187622,3.069655179977417
1660273549770414000,0.4394140625,0.8160369992256165,0.11641400307416916,0.5659670233726501,0.014560000039637089,-1.2243305444717407,-0.20797322690486908,3.0309784412384033
1660273549780414000,0.4494140625,-0.8007379770278931,-0.11325699836015701,-0.5881670117378235,0.007091000210493803,-1.2799206972122192,-0.17391233146190643,2.9942615032196045
1660273549790414300,0.459414306640625,-0.7865350246429443,-0.10982400178909302,-0.606902003288269,0.03114599920809269,-1.3269610404968262,-0.13536876440048218,2.9565553665161133
1660273549800414500,0.46941455078125,-0.7739660143852234,-0.10267099738121033,-0.6226040124893188,0.05289199948310852,-1.3648089170455933,-0.09320104867219925,2.929368257522583
1660273549810414300,0.479414306640625,-0.7631919980049133,-0.09546799957752228,-0.6345070004463196,0.07630500197410583,-1.3930771350860596,-0.04890820011496544,2.9013826847076416
1660273549820414500,0.48941455078125,-0.7538560032844543,-0.08573099970817566,-0.6441680192947388,0.09693700075149536,-1.4147666692733765,-0.004370248876512051,2.88208270072937
1660273549830412500,0.49941259765625,-0.7449929714202881,-0.07827799767255783,-0.6516669988632202,0.11911100149154663,-1.4318408966064453,0.03861789405345917,2.8581058979034424
1660273549840412700,0.50941259765625,-0.7373480200767517,-0.07024099677801132,-0.6574580073356628,0.13831700384616852,-1.4444431066513062,0.0783713310956955,2.8397817611694336
1660273549850412500,0.51941259765625,-0.7301980257034302,-0.06558699905872345,-0.6611530184745789,0.15932300686836243,-1.4525901079177856,0.11514505743980408,2.814246654510498
1660273549860412700,0.52941259765625,-0.7239300012588501,-0.060454998165369034,-0.6638820171356201,0.17756499350070953,-1.4581036567687988,0.14878234267234802,2.7934749126434326
1660273549870412800,0.539412841796875,-0.7168319821357727,-0.059457000344991684,-0.6660299897193909,0.19753099977970123,-1.4631367921829224,0.178833469748497,2.764446973800659
1660273549880413000,0.549412841796875,-0.7091590166091919,-0.05981900170445442,-0.6682760119438171,0.21660999953746796,-1.4688063859939575,0.2061246931552887,2.7349281311035156
